"Language","Language","Asia Online","Apertium","OpenLogos","Google Translate","Babel Fish","Bing Translator","GramTrans","SYSTRAN","1-800-translate","PROMT","WorldLingo","IdiomaX","SAIC Omnifluent","lingenio translate"
"Chinese (Simplified)","German to Chinese (Simplified)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"To Chinese (Traditional)","English to Chinese (Traditional)","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
"To Chinese (Traditional)","German to Chinese (Traditional)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"To Dutch","English to Dutch","Yes","No","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No"
"To Dutch","French to Dutch","Yes","No","No","Yes","Yes","Yes","No","Yes","?","No","Yes","No","Yes","No"
"To French","English to French","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"To French","German to French","Yes","No","?","Yes","Yes","Yes","No","Yes","?","Yes","Yes","No","Yes","Yes"
"To French","Spanish to French","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","No"
"To French","Catalan to French","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No"
"To French","Russian to French","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No"
"To French","Dutch to French","Yes","No","No","Yes","Yes","Yes","No","Yes","?","No","Yes","No","Yes","No"
"To French","Italian to French","Yes","?","?","Yes","?","Yes","?","Yes","?","Yes","Yes","Yes","Yes","No"
"To French","Breton to French","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"To Galician","English to Galician","No","Yes","?","Yes","No","No","No","No","No","No","No","No","No","No"
"To Galician","Portuguese to Galician","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No"
"To Galician","Spanish to Galician","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No"
"To German","Chinese (Simplified) to German","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"To German","Chinese (Traditional) to German","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"To German","English to German","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes"
"To German","French to German","Yes","No","No","Yes","Yes","Yes","No","Yes","?","Yes","Yes","No","Yes","Yes"
"To German","Spanish to German","Yes","No","No","Yes","No","Yes","No","Yes","?","Yes","Yes","No","Yes","No"
"To German","Russian to German","Yes","No","No","Yes","No","Yes","No","No","?","Yes","Yes","No","Yes","No"
"To German","Italian to German","Yes","?","?","Yes","?","Yes","?","Yes","?","Yes","Yes","Yes","Yes","No"
"To Italian","English to Italian","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No"
"To Italian","Spanish to Italian","Yes","No","?","Yes","?","Yes","?","Yes","?","Yes","Yes","Yes","Yes","No"
"To Italian","French to Italian","Yes","No","?","Yes","?","Yes","?","Yes","?","Yes","Yes","Yes","Yes","No"
"To Italian","German to Italian","Yes","No","?","Yes","?","Yes","?","Yes","?","Yes","Yes","Yes","Yes","No"
"To Japanese","English to Japanese","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No"
"To Japanese","German to Japanese","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No"
"To Korean","English to Korean","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No"
"To Portuguese","English to Portuguese","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No"
"To Russian","English to Russian","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No"
"To Russian","French to Russian","No","No","No","Yes","No","Yes","No","No","?","Yes","Yes","No","Yes","No"
"To Russian","Spanish to Russian","No","No","No","Yes","No","Yes","No","No","?","Yes","Yes","No","Yes","No"
"To Russian","German to Russian","Yes","No","No","Yes","No","Yes","No","No","?","Yes","Yes","No","Yes","No"
"To Russian","Italian to Russian","No","No","No","Yes","No","Yes","No","No","?","Yes","Yes","No","Yes","No"
"To Spanish","English to Spanish","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No"
"To Spanish","Russian to Spanish","No","No","No","Yes","No","Yes","No","No","?","Yes","Yes","No","Yes","No"
"To Spanish","French to Spanish","Yes","Yes","No","Yes","Yes","Yes","No","Yes","?","Yes","Yes","Yes","Yes","No"
"To Spanish","German to Spanish","Yes","No","?","Yes","No","Yes","No","Yes","?","Yes","Yes","No","Yes","No"
"To Spanish","Italian to Spanish","Yes","?","?","Yes","?","Yes","?","No","?","Yes","Yes","Yes","Yes","No"
"To Welsh","English to Welsh","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No",""
"To Arabic","English to Arabic","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes",""
"To Catalan","English to Catalan","No","Yes","?","Yes","No","Yes","No","No","No","No","No","No","No",""
"To Catalan","French to Catalan","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No",""
"To Catalan","Italian to Catalan","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No",""
"To Catalan","Occitan to Catalan","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No",""
"To Catalan","Spanish to Catalan","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No",""
"To Czech","English to Czech","Yes","No","?","Yes","No","Yes","No","Yes","No","No","Yes","No","No",""
"To Czech","German to Czech","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No",""
"To Danish","English to Danish","Yes","No","?","Yes","No","Yes","Yes","No","No","Yes","Yes","No","No",""
"To Esperanto","Catalan to Esperanto","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No",""
"To Esperanto","Danish to Esperanto","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No",""
"To Esperanto","English to Esperanto","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No",""
"To Esperanto","French to Esperanto","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No",""
"To Esperanto","Spanish to Esperanto","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No",""
"To Finnish","English to Finnish","Yes","No","?","Yes","No","Yes","No","Yes","No","No","Yes","No","No",""
"To Greek","English to Greek","Yes","No","?","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes",""
"To Haitian Creole","English to Haitian Creole","No","No","No","Yes","No","Yes","No","No","?","?","?","No","No",""
"To Hebrew","English to Hebrew","No","No","No","Yes","No","Yes","No","No","Yes","No","Yes","No","Yes",""
"To Hindi","English to Hindi","Yes","No","No","Yes","No","Yes","No","No","?","No","Yes","No","No",""
"To Hungarian","English to Hungarian","Yes","No","?","Yes","No","Yes","No","Yes","No","No","Yes","No","No",""
"To Norwegian Bokmål","English to Norwegian Bokmål","Yes","No","?","Yes","No","No","Yes","No","No","Yes","Yes","No","No",""
"To Norwegian Bokmål","Norwegian Nynorsk to Norwegian Bokmål","No","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"To Norwegian Nynorsk","Norwegian Bokmål to Norwegian Nynorsk","No","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"To Occitan","Catalan to Occitan","No","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"To Occitan","Spanish to Occitan","No","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"To Persian","English to Persian","No","No","No","Yes","No","Yes","No","No","Yes","No","Yes","No","Yes",""
"To Polish","English to Polish","Yes","No","?","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No",""
"To Polish","German to Polish","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No",""
"To Romanian","English to Romanian","Yes","No","?","Yes","No","Yes","No","Yes","No","No","Yes","No","No",""
"To Serbo-Croatian","English to Serbo-Croatian","Yes","No","?","Yes","No","No","Yes","No","No","No","Yes","No","No",""
"To Slovenian","English to Slovenian","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"To Slovenian","German to Slovenian","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"To Swedish","English to Swedish","Yes","No","?","Yes","No","Yes","No","Yes","No","Yes","Yes","No","No",""
"To Turkish","English to Turkish","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes",""
"To Ukrainian","English to Ukrainian","Yes","No","?","Yes","No","Yes","No","Yes","?","Yes","No","No","Yes",""
"Total (confirmed)","Total (confirmed)","85","27","7","110","31","89","10","64","33","43","71","15","59",""
"","","","","","","","","","","","","","","",""
